Model,MAE,MSE,Precision,Recall
esbm_DP,1.3687023952022996,3.2614060713081323,0.381,0.4834198881184175
esbm_PY,1.3573016586610427,3.1616840741800916,0.409,0.5230823033175974
esbm_GN,1.3427153037021426,3.156347438045231,0.396,0.4964210756563698
esbm_DP_COV,1.3687023952022996,3.2614060713081323,0.381,0.4834198881184175
esbm_PY_COV,1.3573016586610427,3.1616840741800916,0.409,0.5230823033175974
esbm_GN_COV,1.3427153037021426,3.156347438045231,0.396,0.4964210756563698
dcesbm_DP,1.3422295758519476,3.1878028115418338,0.414,0.5186892560054325
dcesbm_PY,1.3353808840822097,3.1510228445644293,0.43,0.5400591042943984
dcesbm_GN,1.3469021360473532,3.2040114197935567,0.426,0.535368988854283
dcesbm_DP_COV,1.279637003027214,3.0271389420197323,0.434,0.5438507334169099
dcesbm_PY_COV,1.3516833985457861,3.2072174319178246,0.42100000000000004,0.5291312225356343
dcesbm_GN_COV,1.3099599172305578,3.0947702943161772,0.425,0.5347684505037447
